City_ID,City,Country,Lat,Lng,Date,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
211,Cockburn Town,TC,21.4612,-71.1419,2022-06-18 18:55:28,85.96,66,40,12.66,scattered clouds
212,La Libertad,EC,-2.2333,-80.9,2022-06-18 18:55:28,71.26,78,100,12.66,overcast clouds
213,Kharp,RU,66.8014,65.8081,2022-06-18 18:55:29,58.51,89,96,5.82,overcast clouds
214,Olpad,IN,21.3333,72.75,2022-06-18 18:55:29,84.15,80,94,15.17,overcast clouds
215,Vuktyl,RU,63.8567,57.3094,2022-06-18 18:55:29,60.26,62,62,3.94,broken clouds
216,Saint-Pierre,RE,-21.3393,55.4781,2022-06-18 18:55:30,67.91,77,20,6.91,few clouds
217,Rio Tercero,AR,-32.173,-64.1141,2022-06-18 18:55:30,72.45,12,0,15.01,clear sky
218,Port-Gentil,GA,-0.7193,8.7815,2022-06-18 18:55:31,75.16,78,20,6.91,few clouds
219,Camana,PE,-16.6228,-72.7111,2022-06-18 18:55:31,64.47,68,59,6.93,broken clouds
220,Panama City,PA,8.9936,-79.5197,2022-06-18 18:52:03,84.43,88,40,9.22,scattered clouds
221,Bonfim,BR,3.0833,-59.95,2022-06-18 18:55:32,86.2,63,58,3.71,broken clouds
222,Shu,KZ,43.5983,73.7614,2022-06-18 18:55:32,70.65,38,2,10.16,clear sky
223,Jabinyanah,TN,35.035,10.9081,2022-06-18 18:55:32,84.0,63,0,11.7,clear sky
224,San Pedro,PH,14.35,121.0167,2022-06-18 18:55:33,81.63,84,20,2.3,few clouds
225,Kavaratti,IN,10.5669,72.642,2022-06-18 18:55:33,81.79,69,100,11.81,overcast clouds
226,Goure,NE,13.9835,10.2704,2022-06-18 18:55:33,92.01,34,23,12.41,few clouds
227,Sao Filipe,CV,14.8961,-24.4956,2022-06-18 18:55:34,75.0,81,95,17.85,overcast clouds
228,Bathsheba,BB,13.2167,-59.5167,2022-06-18 18:55:11,88.41,62,75,17.27,broken clouds
229,Stornoway,GB,58.2093,-6.3865,2022-06-18 18:56:34,52.93,91,75,16.11,broken clouds
230,Meulaboh,ID,4.1363,96.1285,2022-06-18 18:56:35,74.44,90,95,3.78,overcast clouds
231,Storforshei,NO,66.4043,14.5233,2022-06-18 18:56:35,51.66,71,100,8.05,light rain
232,Veraval,IN,20.9,70.3667,2022-06-18 18:56:35,84.56,79,100,14.54,overcast clouds
233,Yar-Sale,RU,66.8333,70.8333,2022-06-18 18:56:36,62.62,51,100,13.67,overcast clouds
234,Sychevka,RU,55.8252,34.2736,2022-06-18 18:56:36,56.44,79,99,8.23,overcast clouds
235,Knokke-Heist,BE,51.3333,3.3333,2022-06-18 18:56:36,71.02,75,100,7.0,overcast clouds
236,Misratah,LY,32.3754,15.0925,2022-06-18 18:56:37,77.34,62,78,8.55,broken clouds
237,Mali,GN,12.079,-12.2982,2022-06-18 18:56:37,64.83,82,85,5.46,light rain
238,Cruz Alta,BR,-28.6386,-53.6064,2022-06-18 18:56:38,50.22,57,0,4.32,clear sky
239,Mufumbwe,ZM,-13.6833,24.8,2022-06-18 18:56:38,59.38,52,44,4.16,scattered clouds
240,Kalmunai,LK,7.4167,81.8167,2022-06-18 18:56:38,80.08,82,100,10.42,overcast clouds
241,Aksarka,RU,66.5606,67.7975,2022-06-18 18:56:39,61.97,78,99,8.57,overcast clouds
242,Bocas Del Toro,PA,9.3333,-82.25,2022-06-18 18:56:39,81.23,81,100,8.25,overcast clouds
243,Mitu,CO,1.1983,-70.1733,2022-06-18 18:54:12,80.35,87,66,2.68,light rain
244,Estelle,US,29.8458,-90.1067,2022-06-18 18:56:40,98.01,52,75,4.0,broken clouds
245,Palera,IN,25.0167,79.2333,2022-06-18 18:56:41,81.77,70,100,4.88,overcast clouds
246,Nisia Floresta,BR,-6.0911,-35.2086,2022-06-18 18:56:41,88.18,70,78,9.08,broken clouds
247,Paamiut,GL,61.994,-49.6678,2022-06-18 18:56:41,42.67,82,100,15.77,overcast clouds
248,Caravelas,BR,-17.7125,-39.2481,2022-06-18 18:56:42,76.8,66,0,8.52,clear sky
249,Chalmette,US,29.9427,-89.9634,2022-06-18 18:56:42,98.02,52,62,4.0,broken clouds
250,Escanaba,US,45.7453,-87.0646,2022-06-18 18:56:42,72.52,31,72,4.79,broken clouds
251,Chute-Aux-Outardes,CA,49.1168,-68.399,2022-06-18 18:56:43,53.58,71,100,14.97,overcast clouds
252,Drummondville,CA,45.8834,-72.4824,2022-06-18 18:52:02,56.39,93,100,14.54,light rain
253,Coracao De Jesus,BR,-16.6853,-44.365,2022-06-18 18:56:43,83.32,21,0,9.37,clear sky
254,Adrar,MR,20.5022,-10.0711,2022-06-18 18:56:44,90.9,34,15,13.35,few clouds
255,Orhei,MD,47.3831,28.8231,2022-06-18 18:56:44,66.78,66,47,2.53,scattered clouds
256,Ilebo,CD,-4.3167,20.5833,2022-06-18 18:56:44,76.19,58,100,1.9,overcast clouds
257,Mount Pleasant,US,32.7941,-79.8626,2022-06-18 18:56:45,93.31,46,0,9.22,clear sky
258,Hurghada,EG,27.2574,33.8129,2022-06-18 18:56:45,89.64,33,0,14.97,clear sky
259,Langarud,IR,37.197,50.1535,2022-06-18 18:56:46,73.45,83,39,3.94,scattered clouds
260,Kumo,NG,10.0447,11.2122,2022-06-18 18:56:46,77.68,66,56,5.59,broken clouds
261,Mizdah,LY,31.4451,12.9801,2022-06-18 18:56:46,81.82,24,72,17.05,broken clouds
262,Comodoro Rivadavia,AR,-45.8667,-67.5,2022-06-18 18:56:47,44.46,76,40,3.44,scattered clouds
263,Kuryk,KZ,43.2,51.65,2022-06-18 18:56:47,74.19,51,0,14.52,clear sky
264,Betare Oya,CM,5.6,14.0833,2022-06-18 18:56:48,66.56,96,100,1.66,overcast clouds
265,Marsh Harbour,BS,26.5412,-77.0636,2022-06-18 18:56:48,80.17,65,7,3.22,clear sky
266,Bilma,NE,18.6853,12.9164,2022-06-18 18:56:48,94.71,10,0,11.45,clear sky
267,Vila Franca Do Campo,PT,37.7167,-25.4333,2022-06-18 18:56:49,66.61,74,0,13.09,clear sky
268,Synya,RU,65.3718,58.0387,2022-06-18 18:56:49,56.35,87,30,5.17,scattered clouds
269,Taoudenni,ML,22.6783,-3.9836,2022-06-18 18:56:50,95.0,22,100,10.89,overcast clouds
270,Burewala,PK,30.1667,72.65,2022-06-18 18:54:17,86.16,51,39,12.26,scattered clouds
271,Canguaretama,BR,-6.38,-35.1289,2022-06-18 18:56:51,80.46,72,67,9.15,broken clouds
272,Mehamn,NO,71.0357,27.8492,2022-06-18 18:56:52,42.75,87,100,11.5,overcast clouds
273,Bingol,TR,38.8847,40.4939,2022-06-18 18:56:52,71.35,36,0,4.7,clear sky
274,Ondjiva,AO,-17.0667,15.7333,2022-06-18 18:57:52,65.64,29,1,5.12,clear sky
275,Oistins,BB,13.0667,-59.5333,2022-06-18 18:54:59,87.89,62,75,17.27,broken clouds
276,Avdiyivka,UA,48.1399,37.7426,2022-06-18 18:57:53,61.23,76,77,3.76,broken clouds
277,La Sarre,CA,48.8002,-79.1996,2022-06-18 18:55:15,58.66,38,0,17.63,clear sky
278,Rayachoti,IN,14.05,78.75,2022-06-18 18:57:53,84.34,61,86,3.74,overcast clouds
279,Voka,EE,59.3997,27.5817,2022-06-18 18:57:54,56.16,95,100,14.16,overcast clouds
280,Manthani,IN,18.65,79.6667,2022-06-18 18:57:54,88.56,56,100,9.57,overcast clouds
281,Camacha,PT,33.0833,-16.3333,2022-06-18 18:57:54,67.42,83,40,12.66,scattered clouds
282,Nouadhibou,MR,20.931,-17.0347,2022-06-18 18:57:55,73.38,73,49,19.57,sand
283,Am Timan,TD,11.0297,20.2827,2022-06-18 18:57:55,81.9,61,100,6.85,light rain
284,Kushmurun,KZ,52.4503,64.6311,2022-06-18 18:57:56,66.87,79,100,10.89,overcast clouds
285,Hwange,ZW,-18.3693,26.5019,2022-06-18 18:57:56,62.58,63,1,3.09,clear sky
286,Sorata,BO,-15.7667,-68.6333,2022-06-18 18:57:56,51.39,61,9,9.15,clear sky
287,Kasongo-Lunda,CD,-6.4667,16.8167,2022-06-18 18:57:57,71.01,34,100,0.78,overcast clouds
288,Lawrenceburg,US,38.0373,-84.8966,2022-06-18 18:57:57,77.99,45,0,1.99,clear sky
289,Porto Novo,BJ,6.4965,2.6036,2022-06-18 18:57:57,76.82,87,100,4.79,overcast clouds
290,Carmelo,UY,-33.9892,-58.2856,2022-06-18 18:57:58,59.58,30,5,10.25,clear sky
291,Bahia Blanca,AR,-38.7196,-62.2724,2022-06-18 18:57:58,53.73,32,8,12.53,clear sky
292,Manadhoo,MV,5.7667,73.3833,2022-06-18 18:57:58,82.06,76,93,12.24,overcast clouds
293,Pucara,PE,-15.9803,-71.4606,2022-06-18 18:57:59,41.13,16,4,12.73,clear sky
294,Beni,CD,0.5,29.4667,2022-06-18 18:57:59,63.21,99,99,3.11,light rain
295,Aswan,EG,24.0934,32.907,2022-06-18 18:58:00,99.7,18,0,11.5,clear sky
296,Sisimiut,GL,66.9395,-53.6735,2022-06-18 18:58:01,36.0,80,69,4.43,broken clouds
297,Pemba,MZ,-12.974,40.5178,2022-06-18 18:58:01,75.9,69,40,9.22,scattered clouds
298,Vila Velha,BR,-20.3297,-40.2925,2022-06-18 18:55:51,87.75,58,0,8.05,clear sky
299,Saint Anthony,US,45.0205,-93.218,2022-06-18 18:58:02,82.35,44,40,16.11,scattered clouds
